HGNC symbol	MIM morbid accession
	
TPRKB	
	
WDR86	
	
HLA-U	
	
	
HCG4P7	
HCG4P3	
ZNF37CP	
LINC02581	
DDX39BP2	
DDX39BP1	
	
ZNF33CP	
	
HLA-A	608579
MARK2P15	
	
	
	
	
	
	
MINDY1	
	
CLUHP3	
HMGN2P8	
	
RSPH1	615481
	
	
	
UNC50	
RPS25P9	
TOMM20P3	
	
	
INSL4	
	
	
CSNK1E	
RLN2	
	
SLC6A13	
PPA1	
TUB	616188
MOG	614250
GOLPH3L	
GPI	613470
MRPS16P3	
PSPHP1	
	
B3GNT7	
MGST3	
TRAPPC1	
TRIM15	
	
ZBTB8OSP2	
	
	
PABPC4	
	
	
RPS27P16	
	
	
	
	
	
	
	
ST8SIA5	
RPL23AP30	
NDUFB3	252010
	
	
	
KCNAB3	
NRBP1	
SLC25A51P1	
	
NCR3	609148
	
ADH5P4	
KIR3DP1	
	
RGS12	
ZNF70P1	
FTH1P23	
RAP2A	
	
YME1L1	617302
KIR2DS4	
APOL5	
	
	
PPP4R2	
KIR3DL1	609423
	
	
	
ENPP7P13	
	
HNRNPABP1	
	
	
LINC01327	
	
	
AP1G1	
	
	
ORC2	
SEPT14	
MDFI	
FAM20C	259775
PABPC1P4	
	
	
DPM3	612937
	
PAFAH1B1	607432
	
CYCSP23	
DPY19L2	613958
CNTROB	
ENPP2	
GACAT2	
EBLN2	
	
GXYLT2	
CICP12	
	
HMGN2P31	
TEX52	
	
MTCL1	
CACNA1C-AS2	
HMGN2P18	
	
CACNA1C-AS1	
TUB-AS1	
MS4A12	
RPL11	612562
	
ZNRD1ASP	
MRPL32	
QTRT1	
	
	
LINC02536	
	
	
CACNA1C-IT3	
	
CACNA1C-IT2	
PLA2G5	228980
	
TULP3	
FKBP7	
THEMIS	
WNT2	
C7orf25	
LST1	
MRPS17P5	
RLN1	
	
	
	
IGHV3OR16-12	
FBXO25	
PSMA2	
LINC02569	
	
	
IGHV3OR16-13	
MYD88	612260
MYD88	153600
	
LINC02046	
RPL38P1	
EPHA7	
ZNRD1	
	
	
	
	
NT5DC3	
PGAP1	615802
LINC01819	
	
	
	
	
KIAA1614-AS1	
	
APOBEC1	
SAMD11P1	
	
HLA-DMA	
	
STX6	
	
	
TMEM5-AS1	
BECN1P2	
TMEM87B	
MTND2P20	
TMEM5	615041
LYPLA1P3	
RBMY1F	
